注文番号,時間(Open Time),取引種別,数量,通貨ペア,価格,決済逆指値(S/L),決済指値(T/P),時間(Close Time),価格,手数料,税,スワップ,損益,MagicNo,コメント
97550662,2024.05.13 04:00:01,buy,0.1,USDJPY,155.933,155.661,0,2024.05.13 04:12:17,155.66,0,0,0,-2730,20220302,STR01[sl]
97564463,2024.05.13 19:00:01,buy,0.05,USDJPY,156.183,155.681,0,2024.05.14 05:13:22,156.487,0,0,0,1520,20220302,to #97603105
97573121,2024.05.14 00:02:00,balance,0.01,,0,0,0,2024.05.14 00:02:00,0,0,0,0,214,,RO 97564463 B 0.10 USDJPY
97601952,2024.05.14 04:00:00,buy,0.05,USDJPY,156.298,156.131,0,2024.05.14 15:30:02,156.665,0,0,0,1835,20220302,to #97610090
97602935,2024.05.14 05:00:00,buy,0.05,USDJPY,156.428,156.167,0,2024.05.14 15:30:30,156.73,0,0,0,1510,20220302,to #97610258
97603105,2024.05.13 19:00:01,buy,0.05,USDJPY,156.183,156.445,0,2024.05.14 16:12:01,156.442,0,0,0,1295,20220302,from #97564463[sl]
97610090,2024.05.14 04:00:00,buy,0.05,USDJPY,156.298,156.445,0,2024.05.14 16:12:01,156.442,0,0,0,720,20220302,from #97601952[sl]
97610258,2024.05.14 05:00:00,buy,0.05,USDJPY,156.428,156.445,0,2024.05.14 16:12:01,156.442,0,0,0,70,20220302,from #97602935[sl]
97612233,2024.05.14 16:00:00,buy,0.1,USDJPY,156.595,156.269,0,2024.05.14 16:19:20,156.265,0,0,0,-3300,20220302,STR01[sl]
97660687,2024.05.15 11:00:05,sell,0.1,USDJPY,156.094,155.875,0,2024.05.15 12:42:59,155.746,0,0,0,3480,20220302,STR01
97662845,2024.05.15 12:00:00,sell,0.1,USDJPY,155.641,156.387,0,2024.05.15 12:42:51,155.739,0,0,0,-980,20220302,STR01
97722039,2024.05.16 04:00:00,sell,0.05,USDJPY,153.66,154.865,0,2024.05.16 10:24:02,154.341,0,0,0,-3405,20220302,to #97730216
97730216,2024.05.16 04:00:00,sell,0.05,USDJPY,153.66,154.865,0,2024.05.16 14:27:45,154.865,0,0,0,-6025,20220302,from #97722039[sl]
